의도ID,의도유형,의도명,의도그룹,컨텍스트,사용상태,총 사용빈도,질의문 갯수,대표질의문,display질의문,질의문,등록자 / 수정자,등록일 / 수정일,등록일 / 수정일,단순응답
INTacb5675518964e64a582e7ef4df0b04a,질의응답,u-cloud 속도 저하접속 불가 안내,Ucloud,,사용,128,11,u-cloud가 느려요,U-Cloud 속도 저하/접속 불가 안내,"u-cloud 속도 저하접속 불가 안내,클라우드 속도,클라우드 속도 느림,클라우드 속도 저하,u-cloud 속도 저하 접속 불가,u-cloud 속도 저하,cloud 속도 저하,cloud 느림,u-cloud가 느려요,끊어짐,인터넷 느리면 어떤 부서한테 물어봐야돼",_vpasys / _vpaA33203,2021.09.29 01:08:55 / 2025.08.18 13:37:43,2025.08.18 13:37:43,"** U-Cloud 속도 저하/접속 불가 안내 **---U-Cloud의 속도가 느리거나 접속이 안되신다면 다음과 같이 시도해 주세요.||||▶ **U-Cloud 속도 저하** (접속 가능): Cloud VM 시작 → 종료 → 재시작 후, 이용 속도 확인▶ **U-Cloud 접속 불가*** 저장할 문서가 없을 경우: U-Cloud 포탈 → 접속장애 자가조치 → STEP3 리부팅 수행* 저장할 문서가 있을 경우: HelpDesk(1644-3888)에 지원 요청▶ **무선 네트워크 사용시**: 무선 AP의 신호가 않좋거나 많은 사용자가 연결되어 있는 경우 많이 느려요. 유선으로 변경해 보세요."
INT218ac417aea44aebaef11bc278ce45f5,질의응답,건강관리실,LGCNS_시설,,사용,4817,37,일회용 밴드,LG사이언스파크 건강관리실 안내,"건강관리실 이용,건강관리실,양호실,안정실,건강관리실 위치,건강관리실 운영시간,응급처치,보건실,의무시설,타이레놀,두통,감기,복통,설사,몸살,대일밴드,일회용 밴드,진통제,생리통,감기몸살,비상약,응급약,아스피린,건강관리실 안내,의무실,기관지염,사이언스파크 약국,사이언스파크 병원,약국,병원,건강상담실,건강상담,비대면 건강상담,혈압계 설치 위치,혈압계 설치 위치를 문의했는데,소화제는,소화제는 어디있니",_vpasaas / _vpaA33203,2018.11.26 16:42:15 / 2025.08.14 10:04:16,2025.08.14 10:04:16,"**LG사이언스파크 건강관리실 안내**

||||

▶ **위치**
: E13 사무동 지하1층 (E14 연결통로 앞)

▶ **운영시간**
: 평일 08:30~17:30 (점심시간 11:30~12:30)

▶ **제공서비스**
: 상비약 제공, 응급처치 및 상처 소독, 혈압/혈당 측정, 건강상담, 건강정보제공, 안정실 운영

<span style=""color:#FF0000;"">**※ 부재중 응급상황 발생 시 연락처**</span>
* 간호사
: 02-2099-0119 (내선 <fon  color = red>**0119**</font>)
: 02-6964-6100
* 통합관제실: 02-6964-7999

▶ **건강상담실**
: 임직원들의 건강상태 상시 파악 및 1:1 건강 상담 진행
※ 건강상담 주제 : 심혈관질환, 대사증후군 예방 및 관리(고혈압, 당뇨, 이상지질혈증, 간질환, 비만 등)
※ 방문, 비대면 가능

* 문의 : 안전보건실 건강상담실(02-2099-2911)

[![2023 건강상담실 안내.PNG 첨부이미지](/api/rest/attfile/5c9de46f49734b09ae99be3026a69929_thumb)](/api/rest/attfile/5c9de46f49734b09ae99be3026a69929)"
INT6d25d1f567214873b02718af0ff9b4c7,질의응답,부재설정,Mail,부재설정,사용,975,15,부재,부재중 설정,"부재중 설정,부재응답,부재시 응답,부재 응답,부재 설정,부재설정,부재,자동응답,autoreply,auto reply,부재중 메일,부재기간 메일 설정,휴가중 메일자동회신 기능을 알려줘,부재 중 자동응답 메일을 설정하실 수 있습니다,부재 중 자동응답 메일을 설정 알려줘",50496 / _vpaA33203,2018.02.12 14:34:02 / 2025.08.11 10:59:09,2025.08.11 10:59:09,"부재 중 자동응답 메일을 설정하실 수 있습니다.

M365 Mail 상단 메뉴 : **보기 > 보기설정 > 계정 > 자동 회신** 에서
[자동 회신 켜기]를 선택한 후 기간과 문구를 입력 후 저장하세요."
INTceddd57fb8e242da95330bd029b7fe58,질의응답,출입카드 신청,U-Service,"출입카드,아이디카드,id카드",사용,14866,41,사원증 문의를 어디에 하면 되나요,출입카드 신청 안내,"출입카드 발급,출입카드 발급 어떻게,출입카드 신청 방법,출입카드 신청을 어떻게 해,출입카드 신청은 어디에서,외주인원 출입카드 발급,협력직원 출입카드 발급,협력사 인원 출입카드 발급,id카드 신청,id카드 발급,id카드 발급 신청,id카드 발급 방법,id카드 신청 방법,아이디카드 발급 신청,사원증 신청,사원증 발급,출입증,협력사 출입증,출입카드 발급 방법,id카드 재발급,아이디 카드 발급,아이디 카드,협력사 출입카드,협력사 카드,협력사 출입,id card,임시 id card,id카드,임시 id카드,아이디 카드 수령처,출입카드 수령처,사원증 신청 처리,사원증 등록,사원증 출입,단기출입증 권한변경,사원증수령,사원증 신규발급,장기 출입,협력직원 단기 출입카드,사원증 문의를 어디에 하면 되나요,사원증 발급 관련해서 문의를 어디에 할 수 있나요",/ _vpaA33203,2017.07.20 10:45:39 / 2025.08.11 10:35:28,2025.08.11 10:35:28,"출입카드 신청 안내
||||

▶ **외부인 방문 시 출입카드** 
: 고객, 협력사, 파트너사의 일회성 방문일 경우, **[[U-Service> ID카드/출입> 외부인 방문 신청]](?action=inquiry&actionParams={}&actionMessage=외부인 방문 신청)**에서 방문 신청하세요. 방문 당일 방문자는 1층 안내데스크에서 신분증 제시 후 출입카드를 교부 받아 출입하시면 됩니다.

▶ **임직원(본인) 출입카드** 
: **[[U-Service> ID카드/출입> (임직원-본인) 출입카드 신청]](https://uservice.lgcns.com/LGCNS.SV.MAIN/ENT/CARD/SVENT_frmPerContCard.aspx?PER_APPLY_TYPE=I&MenuID=SVENT0101)**

▶ **협력직원 장기 출입카드**
: 계약기간 1년 이상인 협력지원에게 발급 
: **[[U-Service> ID카드/출입> (협력직원-장기) 출입카드 신청]](https://uservice.lgcns.com/LGCNS.SV.MAIN/ENT/CARD/SVENT_frmPerContCard.aspx?PER_APPLY_TYPE=O&MenuID=SVENT0102)**

▶ **협력직원 단기 출입카드**
: 계약기간 6개월 이하인 협력직원에게 발급
: **[[U-Service> ID카드/출입> (협력직원-단기)출입카드 신청]](https://uservice.lgcns.com/LGCNS.SV.MAIN/ENT/CARD/SVENT_frmStPropCard.aspx?ST_APPLY_TYPE=S&MenuID=SVENT0103)**"
INT8e754c608a754a6197c323db134efd4b,질의응답,SINGLEX 정의 학습,SINGLEX,"공상평,싱글렉스,singlex",사용,3434,10,싱글렉스 뜻,SINGLEX 정의,"singlex 정의,singlex 뜻,singlex 설명,singlex 안내,싱글렉스 뜻,싱글렉스 정의,싱글렉스 설명,싱글렉스 안내,signlex 주소,singlexhr",_vpasys / _vpaA33203,2022.04.07 09:55:21 / 2025.08.06 10:45:46,2025.08.06 10:45:46,"**SINGLEX(싱글렉스)**는 다양한 솔루션과 Legacy IT환경을 통합/연계하여 SaaS 형태로 서비스를 제공하는 LG CNS의 SaaS Integration 서비스 브랜드 입니다.
||||
**▶ SINGLEX 브랜드 의미**
1. Single + Complex : 다양하고 복합적인 업무를 Single 플랫폼으로 제공
2. Single + Lex : 최고의 SaaS 솔루션이 Integration 된 집합체 또는 왕국
3. Single + Apex : 기업 SaaS 형 서비스 중 정상 또는 최고

[[SINGLEX Town 바로가기>>]](https://www.singlex.com/app/common/main#)
[[Idea Town 바로가기>>]](https://www.singlex.com/ideatown/common/main)"
INTfd3ea68109574501a3e6b4319bb8a308,질의응답,혈압측정기 위치 안내,LGCNS_시설,"혈압측정기,혈압",사용,1,4,* 혈압측정기 위치 안내,혈압측정기 위치 안내,"혈압측정기 위치 안내,혈압측정기,본사 혈압측정기 설치 위치 알려줘,본사 혈압계 설치위치 알려줘",_vpaA33203 / _vpaA33203,2025.07.29 14:30:16 / 2025.07.29 14:32:56,2025.07.29 14:32:56,"**본사 혈압 측정기 위치** 안내
||||
**본사 혈압측정기 위치**를 알려 드립니다.

▶**E13동** 위치
E13동 3층 휴게공간

▶**E14동** 위치
E14동 3층 행복마루"
INT6ae37e4654ed4606959dbaa0a07dfaa1,질의응답,전문식당 찬장,LGCNS_시설,"식당,식사,지하식당",사용,653,13,분식,전문식당 찬장 안내,"전문식당 찬장,찬장,찬장 이용,찬장 예약,찬장 전화번호,찬장 이용 시간,샤브샤브,즉떡,즉석떡볶이,떡볶이,지하에 입점해 있는 식당 뭐뭐 있는지 알려줘요,분식,입점식당",_vpatutor / _vpaA33203,2019.02.26 16:01:52 / 2025.07.28 14:16:54,2025.07.28 14:16:54,"### ** 찬장 Renewal 오픈 안내**

---

찬장이 새롭게 문을 열었습니다.

||||

▶ **운영시간**
* 점심: 11:00~14:00
(1인 1메뉴 주문 필수)

▶ **위치**: E13동 지하1층

▶ **메뉴**: 
* 찬장샤브샤브(1인 10,900원)
* 석관동즉석팬볶이(1인 5,500원)
※ 각종 사리 추가 가능

▶ **결제 방법**: 사원증, LG페이, 신용카드 이용 키오스크에서 결재"
INT31e9849c35d44f48a70c8e139f049171,질의응답,맘스터치 안내,LGCNS_시설,"맘스터치,식당,식사,지하식당",사용,538,4,맘스,맘스터치 안내,"맘스터치 안내,맘스터치,햄버거,맘스",_vpasys / _vpaA33203,2023.03.28 14:57:06 / 2025.07.28 14:11:16,2025.07.28 14:11:16,"### **맘스터치 안내**

---

대한민국 No.1 수제 치킨버거 브랜드 맘스터치입니다.

||||

▶ **운영시간**
* 월~목: 11:00~18:00(라스트오더 17:50)
* 금     : 11:00~15:00(라스트오더 14:30)

▶ **결제 방법**: 신용카드 이용 키오스크에서 결재

[![맘스터치1.PNG 첨부이미지](/api/rest/attfile/8b6aa4da4e33489998279869f6ba60ec_thumb)](/api/rest/attfile/8b6aa4da4e33489998279869f6ba60ec)"
INT4a7b5b50b9d84af88632ba1d813b0b15,질의응답,대금지급 계좌 등록,PartnerPlus_일반,,사용,668,16,업체 계좌,협력업체 대금 지급 계좌 등록 방법,"협력업체 대금 지급 계좌 등록 방법,대금지급 계좌 등록 방법을 알고싶어요,협력업체 지급 계좌 설정,협력업체 지급 계좌 등록,협력업체 지불 계좌 설정,협력업체 지불 계좌 등록,협력사 대금 지급 계좌 등록,협력사 대금 지불 계좌 등록,업체가 대금을 지급받는 계좌는 어디에서 등록,업체의 계좌는 어디에서 등록,업체의 계좌는 어떻게 등록,지급 계좌등록 방법 문의,업체 계좌,업체 계좌 등록,지급 계좌등록,업체 계좌 등록 방법",_vpasaas / _vpaA33203,2018.08.30 17:11:56 / 2025.07.09 15:12:16,2025.07.09 15:12:16,"지급 계좌 등록은 구매처 등록 또는 PartnerPlus 가입 후 지급계좌 등록 가능 상태에서 진행 가능합니다. 신규 등록 / 계좌 변경 또는 업체 구분에 따라 서류 제출 및 방법이 다르니 자세한 사항은 아래 2곳을 참고해 주세요.
1. 계좌등록 방법 일반
[[PartnerPlus]](https://partnerplus.lgcns.com/lpp/lppLogin#)에서 지급계좌등록 매뉴얼을 확인
2. 업체쪽에서 PartnerPlus 회원가입 필수
[[Next Purchasing]](https://purchasing.lgcns.com/lpo/home)시스템의 [업체정보조회]에서 계좌등록현황 -> 오른쪽 하단 등록/변경요청클릭 하여 제출서류 첨부 후 등록 요청"
INT0a47ce4ff5244f62b83abc2643c6ff94,질의응답,겸업 예외 승인 요청 품의 안내,HR,,사용,0,1,* 겸업 예외 승인 요청 품의 안내,겸업 예외 승인 요청 품의 안내,겸업 예외 승인 요청 품의 안내,_vpaA33203 / _vpaA33203,2025.07.07 17:24:01 / 2025.07.07 17:28:18,2025.07.07 17:28:18,"**겸업 예외 승인 요청 품의 안내**

||||

MyWork의 를 **겸업 예외 승인 요청 품의**를 찾으시나요?

아래 링크를 클릭해주세요!

**[[MyWork 겸업 예외 승인 요청 품의 바로가기>>]](https://approval.lgcns.com/MW4/DM/DM_frmWriteDocument?ISFLEX=Y&GrpNo=&FormNo=2493)**"
INTcaaa28fba53b43769e3570c8a4475b98,질의응답,링크cns블로그,시스템링크_사이트,,사용,1067,5,* lg cns 블로그,LG CNS 블로그,"lg cns 블로그,cns 블로그,회사 블로그,회사대표블로그,lg cns 블로그 모바일",50496 / _vpaA33203,2017.11.23 13:24:32 / 2025.06.24 11:02:38,2025.06.24 11:02:38,**[[LG CNS의 블로그]](https://www.lgcns.com/blog/)** 를 방문해 보세요!
